normalized_name,metabolite_name,hmdb_id,smiles,average_molecular_weight,monoisotopic_molecular_weight,srm1950_instrument_type,srm1950_classification,srm1950_reference,source_srm1950_db,nist_srm1950,serum_evidence,hmdb_biofluid,endogenous_hint
sphingosine,Sphingosine,HMDB0000252,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO,299.4919,299.282429400,LC-MS/MS,Amines,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
methyl jasmonate,Methyl jasmonate,HMDB0036583,CC\C=C/C[C@@H]1[C@@H](CC(=O)OC)CCC1=O,224.2961,224.141244500,LC-MS/MS,Lineolic acids and derivatives,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
inosine,Inosine,HMDB0000195,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,268.2261,268.080769500,LC-MS/MS,no subclass,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
cytosine,Cytosine,HMDB0000630,NC1=CC=NC(=O)N1,111.1020,111.043261800,LC-MS/MS,Pyrimidines and pyrimidine derivatives,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
5-methylcytosine,5-Methylcytosine,HMDB0002894,CC1=C(N)NC(=O)N=C1,125.1286,125.058911900,LC-MS/MS,Pyrimidines and pyrimidine derivatives,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
uracil,Uracil,HMDB0000300,O=C1NC=CC(=O)N1,112.0868,112.027277400,LC-MS/MS,Pyrimidines and pyrimidine derivatives,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
"dihydrouracil (5, 6)","Dihydrouracil (5, 6)",HMDB0000076,O=C1CCNC(=O)N1,114.1026,114.042927400,LC-MS/MS,Pyrimidines and pyrimidine derivatives,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
biliverdin,Biliverdin,HMDB0001008,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(/C=C2\NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O,582.6570,582.247834800,LC-MS/MS,Bilirubins,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
bilirubin,Bilirubin,HMDB0000054,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,584.6621,584.263484900,LC-MS/MS,Bilirubins,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
caffeine,Caffeine,HMDB0001847,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,194.1906,194.080375600,LC-MS/MS,Purines and purine derivatives,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
nicotine,Nicotine,HMDB0001934,CN1CCC[C@H]1C1=CN=CC=C1,162.2316,162.115698500,LC-MS/MS,Pyrrolidinylpyridines,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
cotinine,Cotinine,HMDB0001046,CN1C(CCC1=O)C1=CN=CC=C1,176.2151,176.094963000,LC-MS/MS,Pyridines and derivatives,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
pfos,PFOS,HMDB0256327,OC(=O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,557.1800,556.958957600,LC-MS/MS,Alkyl fluorides,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
pfoa,PFOA,HMDB0256329,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)=O,432.5100,431.939814800,LC-MS/MS,Acyl chlorides,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
pfhxs,PFHxS,HMDB0256323,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,338.0440,337.977644300,LC-MS/MS,no subclass,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
pfna,PFNA,HMDB0247702,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,446.0870,445.979929900,LC-MS/MS,Fatty acids and conjugates,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
pfda,PFDA,HMDB0256318,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,614.1010,613.960927000,LC-MS/MS,Alkyl fluorides,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
lutein,Lutein,HMDB0003233,#N/A,0.0000,0.000000000,LC-MS/MS,Tetraterpenoids,NIST Certified data,TRUE,TRUE,TRUE,TRUE,TRUE
zeaxanthin,Zeaxanthin,HMDB0002789,#N/A,0.0000,0.000000000,LC-MS/MS,Tetraterpenoids,NIST Certified data,TRUE,TRUE,TRUE,TRUE,TRUE
beta-cryptoxanthin,beta-Cryptoxanthin,HMDB0240576,#N/A,0.0000,0.000000000,LC-MS/MS,Tetraterpenoids,NIST Certified data,TRUE,TRUE,TRUE,TRUE,TRUE
beta-carotene,beta-Carotene,HMDB0000561,#N/A,0.0000,0.000000000,LC-MS/MS,Tetraterpenoids,NIST Certified data,TRUE,TRUE,TRUE,TRUE,TRUE
alpha-carotene,alpha-Carotene,HMDB0240574,#N/A,0.0000,0.000000000,LC-MS/MS,Tetraterpenoids,NIST Certified data,TRUE,TRUE,TRUE,TRUE,TRUE
trans-lycopene,trans-Lycopene,HMDB0003000,#N/A,0.0000,0.000000000,LC-MS/MS,Tetraterpenoids,NIST Certified data,TRUE,TRUE,TRUE,TRUE,TRUE
total lycopene,Total Lycopene,HMDB0003000,#N/A,0.0000,0.000000000,LC-MS/MS,Prenol lipids,NIST Certified data,TRUE,TRUE,TRUE,TRUE,TRUE
dimethylphenylenediamine,Dimethylphenylenediamine,HMDB0247696,CN(C)C1=CC=C(N)C=C1,136.1943,136.100048400,LC-MS/MS,Amines,PMID: 32490663,TRUE,TRUE,TRUE,TRUE,TRUE
"1,3-diaminopropane","1,3-Diaminopropane",HMDB0000002,NCCCN,74.1249,74.084398330,LC-MS/MS,Amines,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
1-methylnicotinamide,1-Methylnicotinamide,HMDB0000699,C[N+]1=CC=CC(=C1)C(N)=O,137.1592,137.071487900,LC-MS/MS,Pyridinecarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
2-hydroxy-3-methylvaleric acid,2-Hydroxy-3-methylvaleric acid,HMDB0000317,CC[C@@H](C)[C@@H](O)C(O)=O,132.1577,132.078644300,LC-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
2-hydroxyglutaric acid,2-hydroxyglutaric acid,HMDB0000606,O[C@H](CCC(O)=O)C(O)=O,148.1140,148.037173400,LC-MS/MS,Short-chain hydroxy acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
2-hydroxyisobutyric acid,2-Hydroxyisobutyric acid,HMDB0000729,CC(C)(O)C(O)=O,104.1045,104.047344100,LC-MS/MS,Alpha hydroxy acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
2-hydroxyphenylacetic acid,2-Hydroxyphenylacetic acid,HMDB0000669,OC(=O)CC1=C(O)C=CC=C1,152.1473,152.047344100,LC-MS/MS,Phenylacetic acids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
2-oxoadipic acid,2-oxoadipic acid,HMDB0000225,OC(=O)CCCC(=O)C(O)=O,160.1247,160.037173400,LC-MS/MS,Medium-chain keto acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
2-oxoisocaproic acid,2-oxoisocaproic acid,HMDB0000695,CC(C)CC(=O)C(O)=O,130.1418,130.062994200,LC-MS/MS,Keto acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
3-aminoisobutyric acid,3-Aminoisobutyric acid,HMDB0003911,CC(CN)C(O)=O,103.1198,103.063328500,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
3-deoxyglucosone,3-Deoxyglucosone,HMDB0245856,OCC(O)C(O)CC(=O)C=O,162.1410,162.052823400,LC-MS/MS,Fatty alcohols,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
3-hydroxyisobutyric acid,3-Hydroxyisobutyric acid,HMDB0000023,C[C@@H](CO)C(O)=O,104.1045,104.047344100,LC-MS/MS,Beta hydroxy acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
3-methyladipic acid,3-Methyladipic acid,HMDB0000555,C[C@@H](CCC(O)=O)CC(O)=O,160.1678,160.073558900,LC-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
4-ethylphenyl sulfate,4-Ethylphenyl sulfate,HMDB0062551,CCC1=CC=C(OS(O)(=O)=O)C=C1,202.2200,202.029980000,LC-MS/MS,Arylsulfates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
4-hydroxyphenylacetic acid,4-Hydroxyphenylacetic acid,HMDB0000020,OC(=O)CC1=CC=C(O)C=C1,152.1473,152.047344100,LC-MS/MS,1-hydroxy-2-unsubstituted benzenoids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
4-hydroxyphenylpyruvic acid,4-Hydroxyphenylpyruvic acid,HMDB0000707,OC(=O)C(=O)CC1=CC=C(O)C=C1,180.1574,180.042258700,LC-MS/MS,Phenylpyruvic acid derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
5-hydroxylysine,5-Hydroxylysine,HMDB0000450,NC[C@H](O)CC[C@H](N)C(O)=O,162.1870,162.100442300,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
5-methyluridine,5-Methyluridine,HMDB0000884,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,258.2280,258.085186200,LC-MS/MS,no subclass,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
5-oxoproline,5-Oxoproline,HMDB0000267,OC(=O)[C@@H]1CCC(=O)N1,129.1140,129.042593100,LC-MS/MS,Carboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
7-methylguanine,7-Methylguanine,HMDB0000897,CN1C=NC2=C1C(=O)N=C(N)N2,165.1527,165.065059900,LC-MS/MS,Purines and purine derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
adenine,Adenine,HMDB0000034,NC1=C2NC=NC2=NC=N1,135.1267,135.054495200,LC-MS/MS,Purines and purine derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
adenosine,Adenosine,HMDB0000050,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,267.2413,267.096753900,LC-MS/MS,no subclass,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
alpha-ketoisovaleric acid,alpha-Ketoisovaleric acid,HMDB0000019,CC(C)C(=O)C(O)=O,116.1152,116.047344100,LC-MS/MS,Short-chain keto acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
benzoic acid,Benzoic acid,HMDB0001870,OC(=O)C1=CC=CC=C1,122.1230,122.036779400,LC-MS/MS,Benzoic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
caproic acid,Caproic acid,HMDB0000535,CCCCCC(O)=O,116.1583,116.083729600,LC-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
caprylic acid,Caprylic acid,HMDB0000482,CCCCCCCC(O)=O,144.2114,144.115029800,LC-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
cis-aconitic acid,cis-Aconitic acid,HMDB0000072,OC(=O)C\C(=C\C(O)=O)C(O)=O,174.1082,174.016437900,LC-MS/MS,Tricarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
cmpf,CMPF,HMDB0062776,CCCC1=C(C)C(C(O)=O)=C(CCC(O)=O)O1,240.2524,240.099773600,LC-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
deoxyadenosine,Deoxyadenosine,HMDB0000101,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1,251.2419,251.101839300,LC-MS/MS,Purine 2'-deoxyribonucleosides,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
dimethylamine,Dimethylamine,HMDB0000087,CNC,45.0837,45.057849230,LC-MS/MS,Amines,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
ethanolamine,Ethanolamine,HMDB0000149,NCCO,61.0831,61.052763850,LC-MS/MS,Amines,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
ethylmalonic acid,Ethylmalonic acid,HMDB0000622,CCC(C(O)=O)C(O)=O,132.1146,132.042258700,LC-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
"2,5-furandicarboxylic acid","2,5-Furandicarboxylic acid",HMDB0004812,OC(=O)C1=CC=C(O1)C(O)=O,156.0930,156.005873200,LC-MS/MS,Furoic acid and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
gamma-aminobutyric acid,gamma-Aminobutyric acid,HMDB0000112,NCCCC(O)=O,103.1198,103.063328500,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glutaric acid,Glutaric acid,HMDB0000661,OC(=O)CCCC(O)=O,132.1146,132.042258700,LC-MS/MS,Dicarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glyceric acid,Glyceric acid,HMDB0000139,OC[C@@H](O)C(O)=O,106.0773,106.026608700,LC-MS/MS,Carbohydrates and carbohydrate conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
guanidinopropionic acid,Guanidinopropionic acid,HMDB0013222,NC(=N)NCCC(O)=O,131.1332,131.069476500,LC-MS/MS,Guanidines,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
indole,Indole,HMDB0000738,N1C=CC2=C1C=CC=C2,117.1479,117.057849200,LC-MS/MS,Indoles,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
indole-3-propionic acid,Indole-3-propionic acid,HMDB0002302,OC(=O)CCC1=CNC2=C1C=CC=C2,189.2105,189.078978600,LC-MS/MS,Indolyl carboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
indoxyl sulfate,Indoxyl sulfate,HMDB0000682,OS(=O)(=O)OC1=CNC2=CC=CC=C12,213.2100,213.009578400,LC-MS/MS,Arylsulfates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
isocitric acid,Isocitric acid,HMDB0000193,OC(C(CC(O)=O)C(O)=O)C(O)=O,192.1235,192.027002600,LC-MS/MS,Tricarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
isovaleric acid,IsoValeric acid,HMDB0000718,CC(C)CC(O)=O,102.1317,102.068079600,LC-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
kynurenic acid,Kynurenic acid,HMDB0000715,OC(=O)C1=CC(=O)C2=CC=CC=C2N1,189.1675,189.042593100,LC-MS/MS,Quinoline carboxylic acids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
malic acid,Malic acid,HMDB0000156,O[C@@H](CC(O)=O)C(O)=O,134.0874,134.021523300,LC-MS/MS,Beta hydroxy acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n1-acetyl-lysine,N1-Acetyl-Lysine,HMDB0000446,CC(=O)N[C@@H](CCCCN)C(O)=O,188.2270,188.116092400,LC-MS/MS,Carboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n1-acetylspermidine,N1-Acetylspermidine,HMDB0001276,CC(=O)NCCCNCCCCN,187.2825,187.168462300,LC-MS/MS,Carboximidic acids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n2-acetyl-ornithine,N2-Acetyl-Ornithine,HMDB0003357,CC(=O)N[C@@H](CCCN)C(O)=O,174.1977,174.100442300,LC-MS/MS,Carboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-alanine,N-Acetyl-Alanine,HMDB0000766,C[C@H](NC(C)=O)C(O)=O,131.1299,131.058243200,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-asparagine,N-Acetyl-Asparagine,HMDB0006028,CC(=O)N[C@@H](CC(N)=O)C(O)=O,174.1546,174.064056800,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-aspartic acid,N-Acetyl-Aspartic acid,HMDB0000812,CC(=O)N[C@@H](CC(O)=O)C(O)=O,175.1394,175.048072400,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-glutamic acid,N-Acetyl-Glutamic acid,HMDB0001138,CC(=O)N[C@@H](CCC(O)=O)C(O)=O,189.1659,189.063722500,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-glycine,N-Acetyl-Glycine,HMDB0000532,CC(=O)NCC(O)=O,117.1033,117.042593100,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-histidine,N-Acetyl-Histidine,HMDB0032055,CC(=O)N[C@@H](CC1=CNC=N1)C(O)=O,197.1940,197.080041200,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-isoleucine,N-Acetyl-Isoleucine,HMDB0061684,CC[C@H](C)[C@H](NC(C)=O)C(O)=O,173.2120,173.105193300,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-methionine,N-Acetyl-Methionine,HMDB0011745,CSCC[C@H](NC(C)=O)C(O)=O,191.2480,191.061614000,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-proline,N-Acetyl-Proline,HMDB0094701,[H][C@]1(CCCN1C(C)=O)C(O)=O,157.1671,157.073893200,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetylputrescine,N-Acetylputrescine,HMDB0002064,CC(=O)NCCCCN,130.1882,130.110613100,LC-MS/MS,Carboximidic acids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-serine,N-Acetyl-Serine,HMDB0002931,CC(=O)N[C@@H](CO)C(O)=O,147.1293,147.053157800,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-tryptophan,N-Acetyl-Tryptophan,HMDB0013713,CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,246.2619,246.100442300,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
n-acetyl-valine,N-Acetyl-Valine,HMDB0011757,CC(C)[C@H](NC(C)=O)C(O)=O,159.1850,159.089543300,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
nudifloramide,Nudifloramide,HMDB0004193,CN1C=C(C=CC1=O)C(N)=O,152.1506,152.058577500,LC-MS/MS,Pyridinecarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
orotic acid,Orotic acid,HMDB0000226,OC(=O)C1=CC(=O)NC(=O)N1,156.0963,156.017106600,LC-MS/MS,Pyrimidines and pyrimidine derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
p-cresol sulfate,p-Cresol sulfate,HMDB0011635,CC1=CC=C(OS(O)(=O)=O)C=C1,188.2010,188.014329400,LC-MS/MS,Arylsulfates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
phenylacetic acid,Phenylacetic acid,HMDB0000209,OC(=O)CC1=CC=CC=C1,136.1479,136.052429500,LC-MS/MS,no subclass,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
phenylacetylglutamine,Phenylacetylglutamine,HMDB0006344,NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O,264.2771,264.111007000,LC-MS/MS,"Amino acids, peptides, and analogues",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
p-hydroxyhippuric acid,p-Hydroxyhippuric acid,HMDB0013678,OC(=O)CNC(=O)C1=CC=C(O)C=C1,195.1721,195.053157800,LC-MS/MS,Benzene and substituted derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
picolinic acid,Picolinic acid,HMDB0002243,OC(=O)C1=CC=CC=N1,123.1094,123.032028400,LC-MS/MS,Pyridinecarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
pipecolic acid,Pipecolic acid,HMDB0000070,OC(=O)C1CCCCN1,129.1570,129.078978600,LC-MS/MS,Carboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
quinoline-4-carboxylic acid,Quinoline-4-carboxylic acid,HMDB0257047,OC(=O)C1=CC=NC2=CC=CC=C12,173.1710,173.047678500,LC-MS/MS,Quinoline carboxylic acids,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
quinolinic acid,Quinolinic acid,HMDB0000232,OC(=O)C1=CC=CN=C1C(O)=O,167.1189,167.021857700,LC-MS/MS,Pyridinecarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
salicylic acid,Salicylic acid,HMDB0001895,OC(=O)C1=C(O)C=CC=C1,138.1220,138.031694100,LC-MS/MS,Benzoic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
tartaric acid,Tartaric acid,HMDB0000956,O[C@H]([C@@H](O)C(O)=O)C(O)=O,150.0868,150.016437900,LC-MS/MS,Carbohydrates and carbohydrate conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
threonic acid,Threonic acid,HMDB0000943,OC[C@H](O)[C@@H](O)C(O)=O,136.1033,136.037173400,LC-MS/MS,Carbohydrates and carbohydrate conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
thymidine,Thymidine,HMDB0000273,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,242.2286,242.090271600,LC-MS/MS,Pyrimidine 2'-deoxyribonucleosides,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
urea,Urea,HMDB0000294,NC(N)=O,60.0553,60.032362760,LC-MS/MS,Ureas,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
uridine,Uridine,HMDB0000296,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,244.2014,244.069536100,LC-MS/MS,no subclass,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
tmao,TMAO,HMDB0000925,C[N+](C)(C)[O-],75.1097,75.068413920,LC-MS/MS,Aminoxides,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
carnitine (c0),Carnitine (C0),HMDB0000062,C[N+](C)(C)C[C@H](O)CC([O-])=O,161.1989,161.105193400,DI-MS/MS,Quaternary ammonium salts,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
decanoylcarnitine (c10),Decanoylcarnitine (C10),HMDB0000651,CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,315.4540,315.240958500,DI-MS/MS,Fatty acid esters,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
decenoylcarnitine (c10:1),Decenoylcarnitine (C10:1),HMDB0250918,CCCCCCCC=CC(=O)C(O)(CC([O-])=O)C[N+](C)(C)C,313.4380,313.225308500,DI-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
decadienoylcarnitine (c10:2),Decadienoylcarnitine (C10:2),HMDB0241095,CCCC=CCCC=CC(=O)OC(CC([O-])=O)C[N+](C)(C)C,311.4220,311.209658400,DI-MS/MS,Fatty acid esters,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
dodecanoylcarnitine (c12),Dodecanoylcarnitine (C12),HMDB0002250,CCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,344.5150,344.279535100,DI-MS/MS,Fatty acid esters,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
dodecanedioylcarnitine (c12-dc),Dodecanedioylcarnitine (C12-DC),HMDB0013327,C[N+](C)(C)[C@H](CCC([O-])=O)OC(=O)CCCCCCCCCCC(O)=O,373.4843,373.246437900,DI-MS/MS,Tricarboxylic acids and derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
dodecenoylcarnitine (c12:1),Dodecenoylcarnitine (C12:1),HMDB0251567,CCCCCCCCCC=CC(=O)C(O)(CC([O-])=O)C[N+](C)(C)C,341.4920,341.256608600,DI-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
tetradecanoylcarnitine (c14),Tetradecanoylcarnitine (C14),HMDB0005066,CCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,372.5690,372.310835300,DI-MS/MS,Fatty acid esters,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
tetradecenoylcarnitine (c14:1),Tetradecenoylcarnitine (C14:1),HMDB0258884,CCCCCCCCCCCC=CC(=O)C(O)(CC([O-])=O)C[N+](C)(C)C,369.5460,369.287908700,DI-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
hydroxytetradecenoylcarnitine (c14:1-oh),Hydroxytetradecenoylcarnitine (C14:1-OH),HMDB0253296,C[N+](C)(C)CC(O)(CC([O-])=O)C(=O)C=CCCCCCCCCCCCO,385.5450,385.282823400,DI-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
tetradecadienoylcarnitine (c14:2),Tetradecadienoylcarnitine (C14:2),HMDB0258882,CCCCCCCCCC=CC=CC(=O)C(O)(CC([O-])=O)C[N+](C)(C)C,367.5300,367.272258700,DI-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
hydroxytetradecadienoylcarnitine (c14:2-oh),Hydroxytetradecadienoylcarnitine (C14:2-OH),HMDB0240755,[H]\C(CCCCC)=C(/[H])CC([H])=C([H])CC(O)CC(=O)OC(CC([O-])=O)C[N+](C)(C)C,383.5290,383.267173300,DI-MS/MS,Fatty acid esters,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
hexadecenoylcarnitine c16,Hexadecenoylcarnitine C16,HMDB0253127,CCCCCCCCCCCCCC=CC(=O)C(O)(CC([O-])=O)C[N+](C)(C)C,397.6000,397.319208900,DI-MS/MS,Fatty acids and conjugates,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
