normalized_name,metabolite_name,hmdb_id,smiles,average_molecular_weight,monoisotopic_molecular_weight,srm1950_instrument_type,srm1950_classification,srm1950_reference,source_srm1950_db,nist_srm1950,serum_evidence,hmdb_biofluid,endogenous_hint
7-methyl-cholic acid,7-Methyl-cholic acid,HMDB0244296,CC(CCC(O)=O)C1CCC2C3C(CC(O)C12C)C1(C)CCC(O)CC1CC3(C)O,422.6060,422.303224500,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glycochenodeoxycholic acid,Glycochenodeoxycholic acid,HMDB0000637,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O,449.6233,449.314123500,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glycocholic acid,Glycocholic acid,HMDB0000138,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,465.6227,465.309038100,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glycoallocholic acid,Glycoallocholic acid,HMDB0341533,NULL,465.6310,465.309038100,LC-MS/MS,0,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glycodeoxycholic acid,Glycodeoxycholic acid,HMDB0000631,[H][C@]12CCC3C4CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]4(C)[C@@H](O)CC3[C@@]1(C)CC[C@@H](O)C2,449.6233,449.314123500,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glycoursodeoxycholic acid,Glycoursodeoxycholic acid,HMDB0000708,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O,449.6233,449.314123500,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glycolithocholic acid,Glycolithocholic acid,HMDB0000698,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O,433.6239,433.319208900,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glycohyocholic acid,Glycohyocholic acid,HMDB0240607,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)[C@H](O)[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O,465.6310,465.309038100,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
taurodeoxycholic acid,Taurodeoxycholic acid,HMDB0000896,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,499.7040,499.296758900,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
taurochenodesoxycholic acid,Taurochenodesoxycholic acid,HMDB0000951,COC1CC(OC2C(C)OC(CC2OC)OC2C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)OC5CC(CC=C2C)OC2(C5)OC(C5CCCCC5)C(C)C=C2)C34O)OC(C)C1O,899.1280,898.507857100,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
taurocholic acid,Taurocholic acid,HMDB0000036,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,515.7030,515.291673500,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
taurolithocholic acid,Taurolithocholic acid,HMDB0000722,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,483.7100,483.301844700,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
tauroursodexycholic/taurohyodeoxycholic,Tauroursodexycholic/Taurohyodeoxycholic,HMDB0000874,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)CC2C[C@H](O)CC[C@]12C,499.7040,499.296758900,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
taurohyocholic acid,Taurohyocholic acid,HMDB0011637,[H][C@@]12C[C@H](O)CC[C@]1(C)C1CC[C@]3(C)C(CCC3C1[C@H](O)[C@@H]2O)[C@H](C)CCC(=O)NCCS(O)(=O)=O,515.7030,515.291673500,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
tauro-α-muricholic acid,Tauro-α-muricholic acid,HMDB0258742,CC(CCC(=O)NCCS(O)(=O)=O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,515.7100,515.291674000,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
