normalized_name,ghosh_chemical_name,ghosh_chem_id,ghosh_super_pathway,ghosh_sub_pathway,ghosh_nr_cohorts_present,ghosh_max_missingness,ghosh_percent_missing_MDCS,ghosh_percent_missing_PIVUS,ghosh_percent_missing_POEM,ghosh_percent_missing_SCAPIS_M,ghosh_percent_missing_SCAPIS_U,ghosh_all5_cohorts,ghosh_core_50pct,source_ghosh_2024
s-1-pyrroline-5-carboxylate,S-1-pyrroline-5-carboxylate,35,Amino Acid,Glutamate Metabolism,5,7.220216606,0.369344414,,,0.0241955,7.220216606,TRUE,TRUE,TRUE
spermidine,spermidine,50,Amino Acid,Polyamine Metabolism,5,3.78578024,3.78578024,,0.598802395,0.217759497,3.610108303,TRUE,TRUE,TRUE
1-methylnicotinamide,1-methylnicotinamide,55,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,5,0.0241955,,,,0.0241955,0.020056157,TRUE,TRUE,TRUE
12 13-dihome,12 13-DiHOME,62,Lipid,Fatty Acid	 Dihydroxy,3,14.86611265,14.86611265,NA,NA,14.03338979,9.466506217,FALSE,FALSE,TRUE
alpha-ketoglutarate,alpha-ketoglutarate,93,Energy,TCA Cycle,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
kynurenate,kynurenate,98,Amino Acid,Tryptophan Metabolism,5,0.0923,0.0923,,,0.072586499,0.040112314,TRUE,TRUE,TRUE
3-hydroxyisobutyrate,3-hydroxyisobutyrate,111,Amino Acid,Leucine	 Isoleucine and Valine Metabolism,5,7.185628743,0.923361034,3.980099502,7.185628743,1.30655698,1.444043321,TRUE,TRUE,TRUE
3-hydroxy-3-methylglutarate,3-hydroxy-3-methylglutarate,112,Lipid,Mevalonate Metabolism,5,1.292705448,1.292705448,0.829187396,,0.919428986,0.020056157,TRUE,TRUE,TRUE
homovanillate (hva),homovanillate (HVA),117,Amino Acid,Tyrosine Metabolism,4,11.71279583,NA,1.160862355,6.986027944,3.121219453,11.71279583,FALSE,FALSE,TRUE
3-phosphoglycerate,3-phosphoglycerate,132,Carbohydrate,Glycolysis	 Gluconeogenesis	 and Pyruvate Metabolism,5,0.995024876,,0.995024876,0.399201597,0.145172998,0.58162856,TRUE,TRUE,TRUE
cholate,cholate,136,Lipid,Primary Bile Acid Metabolism,5,2.216066482,2.216066482,1.326699834,1.596806387,0.580691991,0.842358604,TRUE,TRUE,TRUE
4-hydroxyphenylacetate,4-hydroxyphenylacetate,144,Amino Acid,Phenylalanine Metabolism,5,43.58264081,43.58264081,1.160862355,2.594810379,0.338736995,38.58804653,TRUE,TRUE,TRUE
5 6-dihydrothymine,5 6-dihydrothymine,158,Nucleotide,Pyrimidine Metabolism	 Thymine containing,5,11.17266851,11.17266851,,,0.072586499,0.080224629,TRUE,TRUE,TRUE
hypoxanthine,hypoxanthine,171,Nucleotide,Purine Metabolism	 (Hypo)Xanthine/Inosine containing,5,0.0923,0.0923,,,0.0241955,,TRUE,TRUE,TRUE
9 10-dihome,9 10-DiHOME,179,Lipid,Fatty Acid	 Dihydroxy,5,37.1257485,23.36103416,24.70978441,37.1257485,15.36414227,14.94183714,TRUE,TRUE,TRUE
linoleate (18:2n6),linoleate (18:2n6),180,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),5,0.0,,,,,,TRUE,TRUE,TRUE
laurate (12:0),laurate (12:0),181,Lipid,Medium Chain Fatty Acid,5,0.0,,,,,,TRUE,TRUE,TRUE
quinolinate,quinolinate,182,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,5,1.385041551,1.385041551,,,,0.060168472,TRUE,TRUE,TRUE
n6 n6 n6-trimethyllysine,N6 N6 N6-trimethyllysine,189,Amino Acid,Lysine Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
n-acetylputrescine,N-acetylputrescine,192,Amino Acid,Polyamine Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
n-formylmethionine,N-formylmethionine,194,Amino Acid,Methionine	 Cysteine	 SAM and Taurine Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
s-adenosylhomocysteine (sah),S-adenosylhomocysteine (SAH),197,Amino Acid,Methionine	 Cysteine	 SAM and Taurine Metabolism,5,20.75848303,19.94459834,7.628524046,20.75848303,11.97677232,3.770557561,TRUE,TRUE,TRUE
"adenosine 3',5'-cyclic monophosphate (camp)","adenosine 3',5'-cyclic monophosphate (cAMP)",207,Nucleotide,"Purine Metabolism, Adenine containing",4,100.0,NA,10.11608624,19.56087824,2.177594967,100,FALSE,FALSE,TRUE
adenosine 5'-monophosphate (amp),adenosine 5'-monophosphate (AMP),209,Nucleotide,Purine Metabolism	 Adenine containing,5,0.060168472,,,,,0.060168472,TRUE,TRUE,TRUE
5-methylthioadenosine (mta),5-methylthioadenosine (MTA),212,Amino Acid,Polyamine Metabolism,5,0.0923,0.0923,,,,0.020056157,TRUE,TRUE,TRUE
arachidonate (20:4n6),arachidonate (20:4n6),229,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),5,0.0,,,,,,TRUE,TRUE,TRUE
arginine,arginine,231,Amino Acid,Urea cycle Arginine and Proline Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
aspartate,aspartate,234,Amino Acid,Alanine and Aspartate Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
2-hydroxyphenylacetate,2-hydroxyphenylacetate,235,Amino Acid,Phenylalanine Metabolism,5,33.05254713,12.28070175,6.633499171,3.193612774,1.548511977,33.05254713,TRUE,TRUE,TRUE
3-(4-hydroxyphenyl)lactate,3-(4-hydroxyphenyl)lactate,240,Amino Acid,Tyrosine Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
phenylpyruvate,phenylpyruvate,241,Amino Acid,Phenylalanine Metabolism,5,7.756232687,7.756232687,,,0.048390999,0.120336943,TRUE,TRUE,TRUE
beta-alanine,beta-alanine,244,Nucleotide,Pyrimidine Metabolism	 Uracil containing,5,0.241954996,,,,0.241954996,0.120336943,TRUE,TRUE,TRUE
carnosine,carnosine,249,Amino Acid,Histidine Metabolism,2,41.39590854,NA,NA,NA,23.03411565,41.39590854,FALSE,FALSE,TRUE
biliverdin,biliverdin,250,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,5,0.040112314,,,,,0.040112314,TRUE,TRUE,TRUE
succinate,succinate,252,Energy,TCA Cycle,5,0.497512438,,0.497512438,,,0.060168472,TRUE,TRUE,TRUE
3-hydroxybutyrate (bhba),3-hydroxybutyrate (BHBA),254,Lipid,Ketone Bodies,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
cholesterol,cholesterol,266,Lipid,Sterol,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
choline phosphate,choline phosphate,267,Lipid,Phospholipid Metabolism,3,0.020056157,,NA,NA,,0.020056157,FALSE,FALSE,TRUE
corticosterone,corticosterone,272,Lipid,Corticosteroids,5,31.33732535,21.14496768,27.36318408,31.33732535,23.51802565,14.86161252,TRUE,TRUE,TRUE
cortisone,cortisone,273,Lipid,Corticosteroids,5,2.216066482,2.216066482,1.326699834,,0.145172998,0.180505415,TRUE,TRUE,TRUE
creatinine,creatinine,275,Amino Acid,Creatine Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
cysteinylglycine,cysteinylglycine,278,Amino Acid,Glutathione Metabolism,3,1.385041551,1.385041551,NA,NA,0.0241955,0.160449258,FALSE,FALSE,TRUE
cystine,cystine,279,Amino Acid,Methionine	 Cysteine	 SAM and Taurine Metabolism,5,43.31337325,0.369344414,0.995024876,43.31337325,0.0241955,0.020056157,TRUE,TRUE,TRUE
sphingosine,sphingosine,297,Lipid,Sphingosines,5,4.590818363,0.0923,3.648424544,4.590818363,0.580691991,0.340954673,TRUE,TRUE,TRUE
deoxycholate,deoxycholate,302,Lipid,Secondary Bile Acid Metabolism,5,15.16966068,12.28070175,12.10613599,15.16966068,9.847568352,6.498194946,TRUE,TRUE,TRUE
cystathionine,cystathionine,310,Amino Acid,Methionine	 Cysteine	 SAM and Taurine Metabolism,5,6.648199446,6.648199446,,,2.371158964,2.827918171,TRUE,TRUE,TRUE
sphinganine,sphinganine,313,Lipid,Sphingolipid Synthesis,5,17.56487026,0.55401662,11.77446103,17.56487026,2.976046455,3.790613718,TRUE,TRUE,TRUE
fumarate,fumarate,330,Energy,TCA Cycle,5,3.416435826,3.416435826,,,0.580691991,0.461291617,TRUE,TRUE,TRUE
gamma-glutamylglutamate,gamma-glutamylglutamate,331,Peptide,Gamma-glutamyl Amino Acid,5,1.484155636,0.27700831,,,0.145172998,1.484155636,TRUE,TRUE,TRUE
gluconate,gluconate,338,Xenobiotics,Food Component/Plant,5,0.55401662,0.55401662,,,0.508105492,0.340954673,TRUE,TRUE,TRUE
glutarate (c5-dc),glutarate (C5-DC),339,Lipid,Fatty Acid	 Dicarboxylate,5,5.177836922,5.170821791,4.975124378,2.195608782,5.177836922,4.392298436,TRUE,TRUE,TRUE
glycine,glycine,340,Amino Acid,Glycine	 Serine and Threonine Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
glycocholate,glycocholate,342,Lipid,Primary Bile Acid Metabolism,5,0.998003992,0.27700831,0.663349917,0.998003992,0.048390999,0.080224629,TRUE,TRUE,TRUE
guanidinoacetate,guanidinoacetate,344,Amino Acid,Creatine Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
histidine,histidine,355,Amino Acid,Histidine Metabolism,5,0.060168472,,,,,0.060168472,TRUE,TRUE,TRUE
cortisol,cortisol,356,Lipid,Corticosteroids,5,0.165837479,0.0923,0.165837479,,0.072586499,0.060168472,TRUE,TRUE,TRUE
hypotaurine,hypotaurine,358,Amino Acid,Methionine	 Cysteine	 SAM and Taurine Metabolism,5,27.1468144,27.1468144,,0.598802395,,1.062976334,TRUE,TRUE,TRUE
inosine,inosine,361,Nucleotide,Purine Metabolism	 (Hypo)Xanthine/Inosine containing,5,25.76177285,25.76177285,9.286898839,8.383233533,5.153641423,0.782190132,TRUE,TRUE,TRUE
inosine 5'-monophosphate (imp),inosine 5'-monophosphate (IMP),362,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",2,76.83513839,NA,NA,NA,60.94846359,76.83513839,FALSE,FALSE,TRUE
myo-inositol,myo-inositol,363,Lipid,Inositol Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
isoleucine,isoleucine,376,Amino Acid,Leucine	 Isoleucine and Valine Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
2-aminoadipate,2-aminoadipate,381,Amino Acid,Lysine Metabolism,5,14.77377655,14.77377655,,,14.34793128,0.060168472,TRUE,TRUE,TRUE
citrulline,citrulline,391,Amino Acid,Urea cycle Arginine and Proline Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
leucine,leucine,397,Amino Acid,Leucine	 Isoleucine and Valine Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
lysine,lysine,407,Amino Acid,Lysine Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
malate,malate,409,Energy,TCA Cycle,5,0.0,,,,,,TRUE,TRUE,TRUE
methionine,methionine,415,Amino Acid,Methionine	 Cysteine	 SAM and Taurine Metabolism,5,0.461680517,0.461680517,0.165837479,,,,TRUE,TRUE,TRUE
palmitate (16:0),palmitate (16:0),424,Lipid,Long Chain Saturated Fatty Acid,5,0.0,,,,,,TRUE,TRUE,TRUE
nicotinamide,nicotinamide,432,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,5,0.401123145,,,,0.193563997,0.401123145,TRUE,TRUE,TRUE
stearate (18:0),stearate (18:0),439,Lipid,Long Chain Saturated Fatty Acid,5,0.0,,,,,,TRUE,TRUE,TRUE
ornithine,ornithine,444,Amino Acid,Urea cycle Arginine and Proline Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
orotate,orotate,445,Nucleotide,Pyrimidine Metabolism	 Orotate containing,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
palmitoleate (16:1n7),palmitoleate (16:1n7),452,Lipid,Long Chain Monounsaturated Fatty Acid,5,0.199600798,,0.165837479,0.199600798,,,TRUE,TRUE,TRUE
phenylalanine,phenylalanine,460,Amino Acid,Phenylalanine Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
phosphate,phosphate,461,Energy,Oxidative Phosphorylation,5,0.0,,,,,,TRUE,TRUE,TRUE
phytanate,phytanate,466,Xenobiotics,Food Component/Plant,5,100.0,,,,0.0241955,100,TRUE,FALSE,TRUE
proline,proline,480,Amino Acid,Urea cycle Arginine and Proline Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
lactate,lactate,482,Carbohydrate,Glycolysis	 Gluconeogenesis	 and Pyruvate Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
pyridoxal,pyridoxal,491,Cofactors and Vitamins,Vitamin B6 Metabolism,4,100.0,NA,6.965174129,5.788423154,0.822646988,100,FALSE,FALSE,TRUE
retinol (vitamin a),retinol (Vitamin A),498,Cofactors and Vitamins,Vitamin A Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
salicylate,salicylate,501,Xenobiotics,Drug - Topical Agents,5,0.435518993,0.369344414,0.165837479,0.399201597,0.435518993,0.300842359,TRUE,TRUE,TRUE
serine,serine,503,Amino Acid,Glycine	 Serine and Threonine Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
serotonin,serotonin,504,Amino Acid,Tryptophan Metabolism,5,40.47907089,1.200369344,20.72968491,12.5748503,40.47907089,5.876454071,TRUE,TRUE,TRUE
taurine,taurine,512,Amino Acid,Methionine	 Cysteine	 SAM and Taurine Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
myristate (14:0),myristate (14:0),519,Lipid,Long Chain Saturated Fatty Acid,5,0.0,,,,,,TRUE,TRUE,TRUE
urea,urea,533,Amino Acid,Urea cycle Arginine and Proline Metabolism,5,0.165837479,,0.165837479,,,0.020056157,TRUE,TRUE,TRUE
uridine,uridine,535,Nucleotide,Pyrimidine Metabolism	 Uracil containing,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
2'-deoxyuridine,2'-deoxyuridine,536,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4,6.290829906,NA,0.165837479,0.199600798,6.290829906,4.43241075,FALSE,FALSE,TRUE
trans-urocanate,trans-urocanate,537,Amino Acid,Histidine Metabolism,5,2.195608782,0.646352724,,2.195608782,1.282361481,0.120336943,TRUE,TRUE,TRUE
glutamate,glutamate,561,Amino Acid,Glutamate Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
glutamine,glutamine,563,Amino Acid,Glutamate Metabolism,5,0.040112314,,,,,0.040112314,TRUE,TRUE,TRUE
threonine,threonine,564,Amino Acid,Glycine	 Serine and Threonine Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
tryptophan,tryptophan,565,Amino Acid,Tryptophan Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
valine,valine,566,Amino Acid,Leucine	 Isoleucine and Valine Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
glucose,glucose,572,Carbohydrate,Glycolysis	 Gluconeogenesis	 and Pyruvate Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
alpha-ketobutyrate,alpha-ketobutyrate,796,Amino Acid,Methionine	 Cysteine	 SAM and Taurine Metabolism,5,15.69713758,15.69713758,,0.199600798,0.072586499,0.020056157,TRUE,TRUE,TRUE
betaine,betaine,799,Amino Acid,Glycine	 Serine and Threonine Metabolism,5,0.0923,0.0923,,,,,TRUE,TRUE,TRUE
cysteine,cysteine,800,Amino Acid,Methionine	 Cysteine	 SAM and Taurine Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
mannose,mannose,803,Carbohydrate,Fructose	 Mannose and Galactose Metabolism,5,0.040112314,,,,,0.040112314,TRUE,TRUE,TRUE
dimethylglycine,dimethylglycine,806,Amino Acid,Glycine	 Serine and Threonine Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
alanine,alanine,811,Amino Acid,Alanine and Aspartate Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
tyrosine,tyrosine,815,Amino Acid,Tyrosine Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
pseudouridine,pseudouridine,821,Nucleotide,Pyrimidine Metabolism	 Uracil containing,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
pyruvate,pyruvate,823,Carbohydrate,Glycolysis	 Gluconeogenesis	 and Pyruvate Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
uracil,uracil,825,Nucleotide,Pyrimidine Metabolism	 Uracil containing,5,26.20232172,15.60480148,26.20232172,10.37924152,3.290587951,6.999598877,TRUE,TRUE,TRUE
xylose,xylose,826,Carbohydrate,Pentose Metabolism,4,38.06658644,NA,11.44278607,27.54491018,22.67118316,38.06658644,FALSE,FALSE,TRUE
cytidine,cytidine,827,Nucleotide,Pyrimidine Metabolism	 Cytidine containing,5,19.76047904,6.925207756,0.663349917,19.76047904,8.323251875,13.9791416,TRUE,TRUE,TRUE
arabinose,arabinose,828,Carbohydrate,Pentose Metabolism,4,38.82872042,NA,4.145936982,33.53293413,25.50205662,38.82872042,FALSE,FALSE,TRUE
cotinine,cotinine,848,Xenobiotics,Tobacco Metabolite,5,89.71807629,28.62419206,89.71807629,66.86626747,40.69683039,66.98756518,TRUE,FALSE,TRUE
caffeine,caffeine,849,Xenobiotics,Xanthine Metabolism,5,2.585410896,2.585410896,0.663349917,1.19760479,1.572707476,0.922583233,TRUE,TRUE,TRUE
fructose,fructose,878,Carbohydrate,Fructose	 Mannose and Galactose Metabolism,5,2.186121139,0.184672207,,,,2.186121139,TRUE,TRUE,TRUE
adenine,adenine,880,Nucleotide,"Purine Metabolism, Adenine containing",4,100.0,NA,15.75456053,41.51696607,1.669489475,100,FALSE,FALSE,TRUE
cytosine,cytosine,881,Nucleotide,Pyrimidine Metabolism	 Cytidine containing,5,32.57119936,11.81902124,3.814262023,7.385229541,28.21195258,32.57119936,TRUE,TRUE,TRUE
caprate (10:0),caprate (10:0),888,Lipid,Medium Chain Fatty Acid,5,0.0,,,,,,TRUE,TRUE,TRUE
margarate (17:0),margarate (17:0),891,Lipid,Long Chain Saturated Fatty Acid,5,0.0,,,,,,TRUE,TRUE,TRUE
nonadecanoate (19:0),nonadecanoate (19:0),892,Lipid,Long Chain Saturated Fatty Acid,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
arachidate (20:0),arachidate (20:0),893,Lipid,Long Chain Saturated Fatty Acid,5,0.0,,,,,,TRUE,TRUE,TRUE
maltose,maltose,913,Carbohydrate,Glycogen Metabolism,3,14.64099479,3.416435826,NA,NA,12.63005081,14.64099479,FALSE,FALSE,TRUE
asparagine,asparagine,917,Amino Acid,Alanine and Aspartate Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
n-stearoyl-sphinganine (d18:0/18:0),N-stearoyl-sphinganine (d18:0/18:0)*,922,Lipid,Dihydroceramides,5,51.09780439,9.787626962,28.68988391,51.09780439,30.89765304,12.63537906,TRUE,FALSE,TRUE
dihydroorotate,dihydroorotate,923,Nucleotide,"Pyrimidine Metabolism, Orotate containing",4,4.185821437,NA,,,4.185821437,0.501403931,FALSE,FALSE,TRUE
heptanoate (7:0),heptanoate (7:0),925,Lipid,Medium Chain Fatty Acid,5,9.510618652,9.510618652,0.165837479,,1.30655698,2.9081428,TRUE,TRUE,TRUE
caproate (6:0),caproate (6:0),926,Lipid,Medium Chain Fatty Acid,5,18.37488458,18.37488458,,,,8.543922984,TRUE,TRUE,TRUE
caprylate (8:0),caprylate (8:0),932,Lipid,Medium Chain Fatty Acid,5,5.540166205,5.540166205,,,0.145172998,0.160449258,TRUE,TRUE,TRUE
sucrose,sucrose,935,Carbohydrate,Disaccharides and Oligosaccharides,5,100.0,27.60849492,11.11111111,45.50898204,23.46963465,100,TRUE,FALSE,TRUE
pentadecanoate (15:0),pentadecanoate (15:0),980,Lipid,Long Chain Saturated Fatty Acid,5,0.0,,,,,,TRUE,TRUE,TRUE
trans-4-hydroxyproline,trans-4-hydroxyproline,1001,Amino Acid,Urea cycle Arginine and Proline Metabolism,5,0.040112314,,,,,0.040112314,TRUE,TRUE,TRUE
allantoin,allantoin,1002,Nucleotide,Purine Metabolism	 (Hypo)Xanthine/Inosine containing,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
xanthine,xanthine,1004,Nucleotide,Purine Metabolism	 (Hypo)Xanthine/Inosine containing,5,1.016210985,,,,1.016210985,,TRUE,TRUE,TRUE
5-oxoproline,5-oxoproline,1021,Amino Acid,Glutathione Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
picolinate,picolinate,1022,Amino Acid,Tryptophan Metabolism,5,20.68328717,20.68328717,,,1.621098476,3.469715203,TRUE,TRUE,TRUE
sarcosine,sarcosine,1023,Amino Acid,Glycine	 Serine and Threonine Metabolism,5,0.0923,0.0923,,,,0.020056157,TRUE,TRUE,TRUE
pantothenate,pantothenate,1024,Cofactors and Vitamins,Pantothenate and CoA Metabolism,5,0.399201597,,0.165837479,0.399201597,,,TRUE,TRUE,TRUE
pipecolate,pipecolate,1025,Amino Acid,Lysine Metabolism,5,16.16766467,,,16.16766467,,0.060168472,TRUE,TRUE,TRUE
phosphoethanolamine,phosphoethanolamine,1026,Lipid,Phospholipid Metabolism,5,0.040112314,,,,,0.040112314,TRUE,TRUE,TRUE
glycerate,glycerate,1052,Carbohydrate,Glycolysis	 Gluconeogenesis	 and Pyruvate Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
3-ureidopropionate,3-ureidopropionate,1053,Nucleotide,Pyrimidine Metabolism	 Uracil containing,5,16.06648199,16.06648199,,,1.693684975,2.146008825,TRUE,TRUE,TRUE
n-acetylleucine,N-acetylleucine,1082,Amino Acid,Leucine	 Isoleucine and Valine Metabolism,5,3.79241517,0.831024931,0.995024876,3.79241517,2.250181466,0.260730044,TRUE,TRUE,TRUE
n-acetylmethionine,N-acetylmethionine,1083,Amino Acid,Methionine	 Cysteine	 SAM and Taurine Metabolism,5,1.477377655,1.477377655,,,0.048390999,0.060168472,TRUE,TRUE,TRUE
n-acetylvaline,N-acetylvaline,1084,Amino Acid,Leucine	 Isoleucine and Valine Metabolism,5,0.184672207,0.184672207,,,,0.020056157,TRUE,TRUE,TRUE
erucate (22:1n9),erucate (22:1n9),1087,Lipid,Long Chain Monounsaturated Fatty Acid,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
bilirubin (z z),bilirubin (Z Z),1090,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,5,0.831024931,0.831024931,,,,0.040112314,TRUE,TRUE,TRUE
thyroxine,thyroxine,1094,Amino Acid,Tyrosine Metabolism,5,0.048390999,,,,0.048390999,0.040112314,TRUE,TRUE,TRUE
gamma-glutamyltyrosine,gamma-glutamyltyrosine,1102,Peptide,Gamma-glutamyl Amino Acid,5,18.96207585,4.709141274,,18.96207585,0.459714493,0.020056157,TRUE,TRUE,TRUE
methyl indole-3-acetate,methyl indole-3-acetate,1104,Xenobiotics,Food Component/Plant,5,42.01292705,42.01292705,1.824212272,6.18762475,30.09920155,17.99037304,TRUE,TRUE,TRUE
alpha-tocopherol,alpha-tocopherol,1105,Cofactors and Vitamins,Tocopherol Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
n-acetylalanine,N-acetylalanine,1110,Amino Acid,Alanine and Aspartate Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
vanillylmandelate (vma),vanillylmandelate (VMA),1111,Amino Acid,Tyrosine Metabolism,5,7.185628743,0.369344414,0.663349917,7.185628743,0.290345996,0.240673887,TRUE,TRUE,TRUE
4-acetamidobutanoate,4-acetamidobutanoate,1113,Amino Acid,Polyamine Metabolism,5,1.108033241,1.108033241,,,0.048390999,0.040112314,TRUE,TRUE,TRUE
3-aminoisobutyrate,3-aminoisobutyrate,1114,Nucleotide,Pyrimidine Metabolism	 Thymine containing,5,0.27700831,0.27700831,,,,0.040112314,TRUE,TRUE,TRUE
chenodeoxycholate,chenodeoxycholate,1123,Lipid,Primary Bile Acid Metabolism,5,37.7654663,37.7654663,20.39800995,24.5508982,18.38857972,21.1993582,TRUE,TRUE,TRUE
citrate,citrate,1124,Energy,TCA Cycle,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
"5,6-dihydrouracil","5,6-dihydrouracil",1125,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4,100.0,NA,0.331674959,0.998003992,3.024437455,100,FALSE,FALSE,TRUE
2-aminobutyrate,2-aminobutyrate,1128,Amino Acid,Glutathione Metabolism,5,0.0923,0.0923,,,,,TRUE,TRUE,TRUE
urate,urate,1134,Nucleotide,Purine Metabolism	 (Hypo)Xanthine/Inosine containing,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
ursodeoxycholate,ursodeoxycholate,1135,Lipid,Secondary Bile Acid Metabolism,5,27.69485904,24.1920591,27.69485904,23.55289421,21.34043068,24.76935419,TRUE,TRUE,TRUE
oleoyl ethanolamide,oleoyl ethanolamide,1137,Lipid,Endocannabinoid,5,0.461680517,0.461680517,,,0.048390999,0.080224629,TRUE,TRUE,TRUE
gamma-glutamylglutamine,gamma-glutamylglutamine,1140,Peptide,Gamma-glutamyl Amino Acid,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
4-hydroxyphenylpyruvate,4-hydroxyphenylpyruvate,1141,Amino Acid,Tyrosine Metabolism,5,44.94195688,6.463527239,44.94195688,11.17764471,21.84853617,5.695948656,TRUE,TRUE,TRUE
butyrate/isobutyrate (4:0),butyrate/isobutyrate (4:0),1143,Lipid,Short Chain Fatty Acid,5,17.08217913,17.08217913,,0.199600798,0.0241955,1.283594063,TRUE,TRUE,TRUE
tigloylglycine,tigloylglycine,1161,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",4,52.54713197,NA,28.68988391,22.15568862,45.77788531,52.54713197,FALSE,FALSE,TRUE
n-acetylneuraminate,N-acetylneuraminate,1162,Carbohydrate,Aminosugar Metabolism,5,0.0923,0.0923,,,,0.020056157,TRUE,TRUE,TRUE
n-acetylglucosaminylasparagine,N-acetylglucosaminylasparagine,1215,Carbohydrate,Aminosugar Metabolism,5,21.23730379,21.23730379,0.165837479,0.199600798,0.096781999,1.283594063,TRUE,TRUE,TRUE
acetoacetate,acetoacetate,1218,Lipid,Ketone Bodies,4,33.49917081,NA,33.49917081,10.57884232,21.96951367,12.25431207,FALSE,FALSE,TRUE
creatine,creatine,1221,Amino Acid,Creatine Metabolism,5,0.0,,,,,,TRUE,TRUE,TRUE
cys-gly oxidized,cys-gly oxidized,1224,Amino Acid,Glutathione Metabolism,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
dihomo-linoleate (20:2n6),dihomo-linoleate (20:2n6),1231,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),5,0.0,,,,,,TRUE,TRUE,TRUE
gamma-glutamylhistidine,gamma-glutamylhistidine,1235,Peptide,Gamma-glutamyl Amino Acid,5,0.27700831,0.27700831,,,,0.160449258,TRUE,TRUE,TRUE
2-hydroxystearate,2-hydroxystearate,1239,Lipid,Fatty Acid	 Monohydroxy,5,0.0923,0.0923,,,,0.020056157,TRUE,TRUE,TRUE
n1-methyladenosine,N1-methyladenosine,1242,Nucleotide,Purine Metabolism	 Adenine containing,5,0.020056157,,,,,0.020056157,TRUE,TRUE,TRUE
