normalized_name,ghosh_chemical_name,ghosh_chem_id,ghosh_super_pathway,ghosh_sub_pathway,ghosh_nr_cohorts_present,ghosh_max_missingness,ghosh_percent_missing_MDCS,ghosh_percent_missing_PIVUS,ghosh_percent_missing_POEM,ghosh_percent_missing_SCAPIS_M,ghosh_percent_missing_SCAPIS_U,ghosh_all5_cohorts,ghosh_core_50pct,source_ghosh_2024
1-stearoyl-2-arachidonoyl-gps (18:0/20:4),1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),100001872,Lipid,Phosphatidylserine (PS),2,55.3951063,24.93074792,NA,NA,NA,55.3951063,FALSE,FALSE,TRUE
glycosyl-n-nervonoyl-sphingosine (d18:1/24:1),glycosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,100001878,Lipid,Hexosylceramides (HCER),1,0.646352724,0.646352724,NA,NA,NA,NA,FALSE,FALSE,TRUE
5alpha-androstan-3alpha 17alpha-diol monosulfate,5alpha-androstan-3alpha 17alpha-diol monosulfate,100002008,Lipid,Androgenic Steroids,4,44.7761194,43.39796861,44.7761194,27.14570858,NA,21.58042519,FALSE,FALSE,TRUE
5alpha-androstan-3beta 17beta-diol monosulfate (2),5alpha-androstan-3beta 17beta-diol monosulfate (2),100002024,Lipid,Androgenic Steroids,4,38.47429519,23.82271468,38.47429519,7.584830339,NA,6.638588047,FALSE,FALSE,TRUE
12-hete,12-HETE,100002167,Lipid,Eicosanoid,1,5.078485688,5.078485688,NA,NA,NA,NA,FALSE,FALSE,TRUE
4-cholesten-3-one,4-cholesten-3-one,100002227,Lipid,Sterol,4,29.51907131,11.91135734,29.51907131,27.34530938,NA,9.987966306,FALSE,FALSE,TRUE
stearoyl ethanolamide,stearoyl ethanolamide,100002254,Lipid,Endocannabinoid,2,100.0,2.123730379,NA,NA,NA,100,FALSE,FALSE,TRUE
dexpanthenol,dexpanthenol,100002376,Xenobiotics,Chemical,2,100.0,97.04524469,NA,NA,NA,100,FALSE,FALSE,TRUE
pseudoephedrine,pseudoephedrine,100002738,Xenobiotics,Drug - Respiratory,1,99.44598338,99.44598338,NA,NA,NA,NA,FALSE,FALSE,TRUE
nicotinamide n-oxide,nicotinamide N-oxide,100002763,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,1,80.51708218,80.51708218,NA,NA,NA,NA,FALSE,FALSE,TRUE
tauroursodeoxycholate,tauroursodeoxycholate,100002912,Lipid,Secondary Bile Acid Metabolism,2,81.53277932,81.53277932,NA,NA,NA,73.36542318,FALSE,FALSE,TRUE
docosadioate (c22-dc),docosadioate (C22-DC),100002952,Lipid,Fatty Acid	 Dicarboxylate,4,1.824212272,1.477377655,1.824212272,0.598802395,NA,0.100280786,FALSE,FALSE,TRUE
isoleucylglycine,isoleucylglycine,100003169,Peptide,Dipeptide,4,65.06986028,25.66943675,64.67661692,65.06986028,NA,7.862013638,FALSE,FALSE,TRUE
leucylglycine,leucylglycine,100003185,Peptide,Dipeptide,4,53.83194829,53.83194829,8.955223881,16.36726547,NA,40.75411151,FALSE,FALSE,TRUE
mianserine,mianserine,100003449,Xenobiotics,Drug - Psychoactive,2,99.97994384,99.81532779,NA,NA,NA,99.97994384,FALSE,FALSE,TRUE
prolylglycine,prolylglycine,100003674,Peptide,Dipeptide,4,24.09972299,24.09972299,,0.199600798,NA,6.478138789,FALSE,FALSE,TRUE
diltiazem,diltiazem,100004015,Xenobiotics,Drug - Cardiovascular,3,99.93983153,97.322253,99.33665008,NA,NA,99.93983153,FALSE,FALSE,TRUE
gemfibrozil,gemfibrozil,100004034,Xenobiotics,Drug - Metabolic,1,99.72299169,99.72299169,NA,NA,NA,NA,FALSE,FALSE,TRUE
glycohyocholate,glycohyocholate,100004083,Lipid,Secondary Bile Acid Metabolism,4,60.07984032,36.38042475,56.21890547,60.07984032,NA,21.92137986,FALSE,FALSE,TRUE
taurohyocholate,taurohyocholate*,100004084,Lipid,Secondary Bile Acid Metabolism,2,93.90581717,93.90581717,NA,NA,NA,83.33333333,FALSE,FALSE,TRUE
3-methyl catechol sulfate (2),3-methyl catechol sulfate (2),100004110,Xenobiotics,Benzoate Metabolism,2,100.0,40.16620499,NA,NA,NA,100,FALSE,FALSE,TRUE
gamma-cehc glucuronide,gamma-CEHC glucuronide*,100004243,Cofactors and Vitamins,Tocopherol Metabolism,1,43.67497692,43.67497692,NA,NA,NA,NA,FALSE,FALSE,TRUE
indolin-2-one,indolin-2-one,100004318,Xenobiotics,Food Component/Plant,4,19.39058172,19.39058172,1.492537313,0.998003992,NA,10.87043722,FALSE,FALSE,TRUE
3-acetylphenol sulfate,3-acetylphenol sulfate,100004326,Xenobiotics,Chemical,4,50.2994012,15.42012927,42.95190713,50.2994012,NA,19.87565183,FALSE,FALSE,TRUE
1-stearoyl-gps (18:0),1-stearoyl-GPS (18:0)*,100004327,Lipid,Lysophospholipid,1,42.75161588,42.75161588,NA,NA,NA,NA,FALSE,FALSE,TRUE
2-hydroxyphytanate,2-hydroxyphytanate*,100004414,Lipid,Fatty Acid	 Branched,1,3.047091413,3.047091413,NA,NA,NA,NA,FALSE,FALSE,TRUE
3-methoxytyramine sulfate,3-methoxytyramine sulfate,100004634,Amino Acid,Tyrosine Metabolism,4,55.88723051,44.96768236,55.88723051,36.9261477,NA,16.02486963,FALSE,FALSE,TRUE
n-methylpipecolate,N-methylpipecolate,100005383,Xenobiotics,Bacterial/Fungal,2,15.23545706,15.23545706,NA,NA,NA,0.180505415,FALSE,FALSE,TRUE
11-ketoetiocholanolone glucuronide,11-ketoetiocholanolone glucuronide,100005402,Lipid,Androgenic Steroids,2,100.0,29.91689751,NA,NA,NA,100,FALSE,FALSE,TRUE
2-keto-3-deoxy-gluconate,2-keto-3-deoxy-gluconate,100005946,Xenobiotics,Food Component/Plant,1,1.846722068,1.846722068,NA,NA,NA,NA,FALSE,FALSE,TRUE
alpha-cehc sulfate,alpha-CEHC sulfate,100005972,Cofactors and Vitamins,Tocopherol Metabolism,2,73.49953832,73.49953832,NA,NA,NA,55.31488167,FALSE,FALSE,TRUE
